SerialNo,Tree.ID,Genet.Compound,Genet.2014,Geno.Hilary,Genet.SSR,Latitude,Longitude,Block,Row,Position,RowA,PosA,Dist.Edge,SNPFlag.01,SeqFlag.01,SSRFlag.01,SexMkrFlag.01,Ploidy,Hybrid.01,,PlantingDate,PlantingYear,Age.2016,Vol.2012,Vol.2015,Vol.2016,Vol.2017,Vol.2018,GrowLn.1516,GrowLn.1617,GrowLn.1718,GrowLn.1518,ExclusionFlag,ExclusionFlagCode,Comments.2015,Comments.2016,Comments.2017,Comments.2018,BknLdr.2015,BknLdr.2017,BBreakDegDay.2014,BBreakDegDay.2015,BBreakDegDay.2016,BBreakDegDay.2017,Sex.2017,Sex.2018,Sex.Genet,Sex.TOZ19,SexTOZ19.01,TOZcheck.Ramet,FlTwigs.2017,FlTwigs.2018,ALA.J2016,ALA.A2016,ALA.J2017,ALA.A2017,SLA.2014,SLA.2015,SLA.J2016,SLA.A2016,SLA.J2017,SLA.A2017,CT.2014,CT.2015,CT.J2016,CT.A2016,CT.J2017,CT.A2017,PGsum.2014,PGsum.2015,PGsum.J2016,PGsum.A2016,PGsum.J2017.JenaEQ,PGsum.A2017,Scort.2014,Scort.2015,Tcin.2014,Tcin.2015,Scin.J2016,Scort.J2016,Tcin.J2016,Tdin.J2016,Scin.A2016,Scort.A2016,Tcin.A2016,Tdin.A2016,Scin.J2017.JenaEQ,Scort.J2017.JenaEQ,Tcin.J2017.JenaEQ,Tdin.J2017.JenaEQ,Scin.A2017,Scort.A2017,Tcin.A2017,Tdin.A2017,SA.J2017,JA.J2017,JAIle.J2017,ABA.J2017,BAgluc.J2017,Cpct.J2016,Cpct.A2016,Cpct.J2017,Cpct.A2017,Npct.2014,Npct.2015,Npct.J2016,Npct.A2016,Npct.J2017,Npct.A2017,CN.2014,CN.2015,CN.J2016,CN.A2016,CN.J2017,CN.A2017,EFNMean.2014,EFNMean.2016,EFNMean.2017,Venturia.2017,LeafAreaSum.2016,LeafAreaSum.2017,DiseaseEdgePct.2016,DiseaseEdgePct.2017,ScrapHolePct.2016,ScrapHolePct.2017,DamagePct.2016,DamagePct.2017,INSECTS - multiple columns or separate file
1531,4_M_19,536,536,536,,44.68042624,-89.56484119,4,M,19,M,19,2,0,0,0,0,2,0,0,7/1/2012,2012,4,0.1,3.2,11.2,30.9,78.5,1.26,1.01,0.93,3.21,,,,BL near top (old),,,x,x,209.0,311.0,219.8,252.7,,,,,NA,,0,0,12.23,9.92,12.96,13.25,150.80,133.74,141.49,132.49,149.17,142.78,4.99,4.70,6.65,3.14,4.40,3.89,14.41,11.64,9.71,6.27,9.86,7.76,7.60,6.54,6.81,5.10,0.30,4.37,4.92,0.13,0.40,2.66,3.04,0.17,0.81,5.80,3.14,0.11,0.36,3.66,3.47,0.27,983.96,597.00,126.38,64.42,29002.38,,47.61,,,2.13,2.46,,2.29,,,23.65,19.49,,20.25,,,0.33,0.17,0.17,1,120.25,240.61,3.69,2.34,1.68,1.95,5.36,4.30,
2121,2_WB_21,536,536,536,,44.68042624,-89.56484119,2,WB,21,WB,21,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.2,6.7,21.3,35.0,72.7,1.16,0.49,0.73,2.39,,,,,,,,,194.2,327.4,207.5,235.1,,,,,NA,,0,0,14.49,10.43,11.02,13.09,136.67,140.00,115.42,121.90,146.79,130.77,7.50,6.95,5.45,7.64,4.66,4.91,8.97,11.25,5.70,5.55,10.69,7.76,4.68,6.25,4.29,5.00,0.19,2.80,2.63,0.08,0.39,2.29,2.70,0.16,0.70,6.37,3.50,0.11,0.40,3.55,3.56,0.25,450.62,293.38,135.51,28.46,31019.74,,47.72,,,2.33,2.26,,2.27,,,21.37,22.07,,20.73,,,NA,0.42,0.08,NA,127.47,172.37,5.82,3.29,2.86,2.61,8.68,5.90,
338,1_M_2,538,538,538,,44.6277189,-89.56484119,1,M,2,M,2,2,0,0,0,0,2,0,0,7/1/2011,2011,5,0.1,3.4,10.9,25.9,46.0,1.17,0.87,0.58,2.61,,,,,,,,,230.7,364.5,309.3,277.6,,,,,NA,,0,0,10.37,9.98,10.05,9.56,126.44,152.77,142.48,142.86,167.48,143.94,27.43,15.68,13.43,12.53,12.92,11.62,8.40,7.27,6.08,7.04,4.98,2.87,4.83,4.49,3.57,2.78,0.23,4.11,3.84,0.08,0.36,3.15,3.38,0.14,0.35,3.57,1.02,0.03,0.16,1.58,1.06,0.07,2159.69,1676.78,181.45,132.25,74508.07,,48.81,,,1.78,2.39,,2.12,,,28.09,20.76,,23.54,,,0.17,0.42,0.00,1,120.75,115.59,1.09,1.58,1.10,2.08,2.19,3.65,
988,3_H_8,538,538,538,57,44.6277189,-89.56484119,3,H,8,H,8,7,1,0,1,1,2,0,0,7/1/2011,2011,5,0.1,5.6,17.7,39.0,67.8,1.15,0.79,0.55,2.50,,,,,,,,,230.7,364.5,272.6,277.6,,,,,1,,0,0,9.98,8.72,9.84,9.26,134.66,155.00,148.20,143.13,156.95,156.39,19.54,16.70,9.69,14.81,15.14,10.44,12.48,9.94,5.15,4.62,3.75,2.44,7.28,6.14,5.20,3.80,0.07,1.55,1.28,0.03,0.28,2.10,2.13,0.11,0.29,2.80,0.64,0.02,0.11,1.38,0.89,0.06,1869.92,5553.51,1064.95,50.34,53566.92,,48.87,,,1.97,2.20,,1.92,,,25.68,21.93,,25.60,,,0.50,0.17,0.33,2,106.75,111.53,4.24,1.55,3.12,2.18,7.36,3.73,
838,3_B_26,539.54,540,540,510,44.63235415,-89.56484119,3,B,26,B,26,2,1,0,1,1,2,0,0,7/1/2011,2011,5,0.0,0.8,5.0,17.4,33.6,1.81,1.24,0.66,3.71,,,,[sic!],,,,,230.7,364.5,272.6,305.2,,,M,,1,,0,0,12.37,11.82,12.49,10.42,127.53,126.29,148.31,128.91,153.31,158.43,20.05,13.15,15.36,14.09,13.03,12.16,12.92,8.21,3.37,2.98,6.25,3.59,6.77,5.44,6.15,2.77,0.17,2.06,1.59,0.04,0.21,1.55,1.16,0.07,0.32,4.54,1.36,0.03,0.19,1.93,1.39,0.08,858.89,2047.36,654.46,50.81,38188.20,,49.70,,,1.82,2.18,,2.08,,,28.01,23.40,,24.20,,,0.67,0.42,0.67,1,143.18,157.42,6.11,2.94,2.61,2.39,8.72,5.33,
913,3_E_17,539.54,539,539,510,44.6321484,-89.56484119,3,E,17,E,17,5,1,0,1,1,2,0,0,7/1/2012,2012,4,0.0,1.4,8.8,24.1,54.4,1.82,1.00,0.81,3.64,,,,,,,,,244.1,356.2,278.1,290.7,,,M,,1,,0,0,10.79,11.51,13.31,13.32,123.30,133.43,134.61,132.87,150.44,140.31,19.19,14.51,12.65,8.51,19.16,10.30,11.17,8.27,7.42,5.33,6.70,4.49,5.93,5.12,5.24,3.15,0.20,3.35,3.32,0.12,0.36,2.41,2.39,0.18,0.37,4.68,1.60,0.04,0.24,2.43,1.71,0.11,878.93,2463.58,455.91,54.43,35123.48,,48.06,,,1.76,2.11,,2.12,,,28.15,23.89,,22.86,,,0.42,0.17,0.50,11,138.93,214.40,3.46,2.30,1.36,1.98,4.82,4.28,
1272,4_D_12,539.54,540,540,,44.63235415,-89.56484119,4,D,12,D,12,4,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,3.6,14.6,43.0,76.5,1.41,1.08,0.58,3.06,,,,,,,,,238.3,356.2,285.7,305.2,M,M,M,,NA,,2,4,21.35,11.66,13.33,12.41,132.27,127.79,147.36,142.61,170.10,166.69,19.09,15.21,7.38,11.29,11.09,9.38,7.85,7.63,9.33,5.05,6.31,3.60,4.47,4.66,3.38,2.97,0.67,7.54,3.07,0.13,0.25,2.30,2.39,0.10,0.35,4.53,1.39,0.04,0.20,2.05,1.27,0.08,926.21,2247.11,562.83,63.25,53790.92,,48.62,,,2.12,2.35,,2.12,,,24.34,21.28,,23.08,,,1.33,0.67,0.33,1,142.17,151.45,2.89,2.29,2.73,3.32,5.62,5.61,
2087,2_EB_15,539.54,539,539,,44.6321484,-89.56484119,2,EB,15,EB,15,0,0,0,0,0,2,0,0,7/1/2012,2012,4,0.0,0.1,1.8,7.2,25.6,3.12,1.41,1.27,5.80,,,,,,,,,253.1,364.5,264.7,297.7,,,M,,NA,,0,0,10.33,10.00,11.86,9.92,106.31,107.28,109.19,112.18,137.59,131.84,30.03,26.25,14.2,15.57,8.67,9.62,12.09,8.34,3.83,4.86,6.60,5.28,5.64,4.78,6.45,3.56,0.19,2.88,2.56,0.05,0.29,2.02,2.43,0.12,0.44,4.42,1.68,0.05,0.18,2.66,2.32,0.12,894.53,1384.45,886.53,37.43,17393.60,,49.72,,,1.72,1.96,,1.96,,,29.82,26.19,,26.18,,,NA,0.33,0.58,NA,123.62,201.37,6.42,2.06,3.73,2.84,10.16,4.90,
1002,3_H_22,542,542,542,60,44.6326273,-89.56484119,3,H,22,H,22,7,1,0,1,1,2,0,0,7/1/2011,2011,5,0.0,1.5,7.8,22.3,45.0,1.67,1.05,0.70,3.42,,,,,,,,,226.0,364.5,246.3,277.6,,,,,0,,0,0,15.46,11.98,15.72,15.33,129.85,151.43,145.51,139.99,162.50,175.55,15.24,13.99,12.7,12.63,10.16,8.51,4.67,2.34,1.10,1.26,2.98,2.15,2.92,1.26,1.75,1.08,0.05,0.59,0.46,0.01,0.10,0.60,0.52,0.03,0.38,2.10,0.46,0.04,0.12,1.14,0.83,0.06,2119.13,671.87,210.59,44.65,90922.76,,50.24,,,2.19,2.34,,2.26,,,23.28,20.96,,22.32,,,1.00,0.33,0.17,1,147.30,185.26,0.87,0.73,2.83,1.86,3.71,2.58,
86,1_D_2,544,544,544,98,44.63769046,-89.56484119,1,D,2,D,2,2,0,0,1,1,2,0,0,7/1/2011,2011,5,0.0,0.1,1.6,5.7,18.3,2.88,1.28,1.16,5.31,,,,,,,,,209.0,356.2,241.8,228.2,,,,,1,,0,0,12.99,14.18,12.72,16.01,108.34,126.08,125.68,115.54,135.81,121.94,21.90,13.16,11.31,13.13,9.98,7.33,11.76,9.40,6.25,6.67,8.39,7.71,6.84,6.05,4.92,3.35,0.15,3.26,2.78,0.07,0.38,2.98,3.12,0.20,0.60,5.38,2.32,0.08,0.35,3.87,3.31,0.18,1026.72,578.04,119.86,41.13,15985.95,,49.18,,,1.93,2.17,,2.15,,,26.37,22.92,,23.14,,,0.00,0.25,0.67,1,171.69,210.75,4.45,3.02,1.36,2.27,5.81,5.29,
1080,3_K_16,544,544,544,,44.63769046,-89.56484119,3,K,16,K,16,4,0,0,0,0,2,0,0,7/1/2011,2011,5,0.1,4.6,21.0,45.5,94.0,1.51,0.77,0.73,3.01,,,,,,,,,177.5,311.0,219.8,218.1,,,,,NA,,0,0,14.02,11.83,18.67,21.71,149.88,157.85,151.38,111.86,162.51,159.15,12.27,8.29,8.46,8.72,7.58,6.08,8.39,7.77,6.44,3.43,7.12,4.78,5.65,5.15,2.74,2.62,0.21,3.47,2.69,0.07,0.20,1.61,1.54,0.08,0.88,4.42,1.75,0.08,0.21,2.57,1.90,0.10,653.70,1064.67,214.28,73.21,25076.18,,46.83,,,2.28,2.50,,2.30,,,21.98,19.17,,20.40,,,0.00,0.42,0.17,13,142.51,306.10,3.99,2.13,0.67,1.79,4.66,3.92,
1297,4_E_9,544,544,544,,44.63769046,-89.56484119,4,E,9,E,9,5,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,1.9,9.2,21.7,50.5,1.57,0.85,0.85,3.27,,,,,,,,,209.0,327.4,229.5,235.1,,,,,NA,,0,0,12.44,12.14,19.80,15.33,137.70,147.61,154.33,148.35,160.27,159.17,14.08,8.04,11.24,7.68,6.74,5.46,11.96,8.26,9.67,4.92,7.54,4.60,7.35,5.62,4.61,2.64,0.51,6.11,2.90,0.14,0.32,2.45,2.04,0.10,0.52,4.96,2.01,0.05,0.29,2.47,1.71,0.13,3370.35,584.07,129.81,55.87,24849.16,,47.52,,,2.16,2.48,,2.34,,,23.69,19.04,,19.84,,,0.00,0.17,0.08,1,148.16,184.69,2.29,2.11,2.05,1.41,4.34,3.53,
35,1_B_7,545,545,545,592,44.63793672,-89.56484119,1,B,7,B,7,2,0,0,1,0,2,0,0,7/1/2011,2011,5,0.0,NA,NA,0.1,0.6,NA,NA,1.79,NA,,,,"two basal diams: 21.30, 19.91. 2015 height wrong, basal diam plausible.",,,,,221.5,374.3,285.7,323.3,F,,F,,0,,15,0,7.68,8.79,14.15,8.98,104.65,144.45,99.99,87.42,138.20,122.50,22.05,18.96,25.06,26.2,21.38,20.77,17.89,12.05,7.66,7.54,7.07,4.02,9.93,6.64,7.96,5.41,0.21,3.16,4.17,0.13,0.45,2.97,3.86,0.26,0.42,4.39,2.19,0.07,0.10,1.86,1.95,0.11,2978.83,795.64,220.39,33.08,48729.70,,50.42,,,1.75,2.03,,1.78,,,28.61,25.03,,28.51,,,1.17,0.75,0.33,1,106.94,108.59,2.76,3.34,2.00,2.51,4.76,5.85,
649,2_J_5,545,545,545,592,44.63793672,-89.56484119,2,J,5,J,5,5,1,0,1,1,2,0,0,7/1/2011,2011,5,0.1,3.9,13.9,33.0,62.5,1.27,0.86,0.64,2.78,,,,,,,,,274.8,382.1,253.3,305.2,,,F,,0,,0,0,16.45,15.06,14.92,16.60,125.42,142.54,148.72,139.95,165.81,170.34,17.64,20.61,9.52,3.39,11.60,9.50,14.36,11.37,9.06,7.02,8.29,5.32,6.65,6.01,7.71,5.36,0.22,3.80,4.84,0.20,0.45,3.21,3.00,0.31,0.38,5.14,2.70,0.06,0.24,2.47,2.41,0.20,1305.68,552.26,89.93,36.88,12440.21,,45.96,,,1.93,2.41,,2.49,,,26.45,20.90,,17.46,,,0.25,0.00,0.00,0,181.61,234.13,1.59,1.47,0.65,1.52,2.25,2.99,
945,3_F_21,545,545,545,592,44.63793672,-89.56484119,3,F,21,F,21,6,0,0,1,0,2,0,0,7/1/2011,2011,5,0.0,0.1,2.8,7.6,18.0,3.99,0.99,0.86,5.85,,,,,,,,,274.8,368.2,309.3,323.3,,,F,,0,,0,0,16.57,12.75,13.55,14.37,127.13,126.61,126.01,127.45,161.65,144.33,21.50,26.14,15.46,16.45,10.08,11.35,16.93,8.13,6.16,9.14,8.90,6.38,8.53,4.37,8.40,3.76,0.09,2.56,3.42,0.08,0.37,3.24,5.26,0.27,0.80,5.03,2.98,0.10,0.24,2.89,3.05,0.20,648.79,783.68,236.05,40.38,19820.31,,48.44,,,1.72,1.80,,1.79,,,28.87,27.65,,27.51,,,0.00,0.42,0.33,1,154.45,174.51,0.56,1.88,1.53,2.18,2.09,4.06,
1232,4_B_28,545,545,545,592,44.63793672,-89.56484119,4,B,28,B,28,1,0,0,1,0,2,0,0,7/1/2012,2012,4,0.0,0.4,3.2,9.9,24.1,2.17,1.13,0.89,4.20,,,,,,,,,259.7,368.2,285.7,317.2,,,F,,0,,0,0,13.93,13.20,15.85,11.94,127.01,128.83,128.69,111.88,128.76,132.03,23.73,26.14,13.93,17.83,17.90,12.10,13.64,5.23,2.99,3.31,4.11,3.64,7.44,2.73,6.20,2.50,0.17,1.33,1.41,0.09,0.19,1.40,1.63,0.09,0.27,2.65,1.15,0.04,0.12,1.79,1.62,0.11,1479.89,257.92,160.77,40.00,20938.01,,47.62,,,1.64,1.69,,1.82,,,29.57,28.41,,26.90,,,0.33,0.17,0.17,1,159.70,144.05,1.07,1.32,1.20,2.08,2.27,3.39,
2222,4_NB_I,545,545,545,592,44.63793672,-89.56484119,4,NB,I,I,29,0,0,0,1,0,2,0,0,7/1/2011,2011,5,0.0,1.2,6.3,18.1,49.3,1.62,1.06,1.00,3.68,,,,,,,,,259.7,382.1,318.8,337.6,,,F,,0,,0,0,12.49,11.86,14.01,13.55,127.09,127.10,117.22,119.20,134.89,127.12,24.78,20.94,19.98,13.43,27.44,13.28,9.82,5.99,5.99,4.36,4.35,4.05,4.96,3.28,4.86,2.71,0.18,2.62,3.11,0.09,0.28,1.70,2.22,0.15,0.28,2.94,1.10,0.04,0.21,1.90,1.78,0.16,1045.26,446.01,134.44,36.46,22439.98,,48.31,,,1.75,2.15,,1.71,,,28.33,23.68,,28.39,,,NA,0.08,0.00,NA,146.40,203.64,3.73,3.11,3.26,8.09,6.98,11.20,
388,1_N_24,548,548,548,,44.6514115,-89.56484119,1,N,24,N,24,1,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,0.8,4.7,12.7,33.1,1.78,0.98,0.96,3.73,,,,,,,,,177.5,311.0,229.5,228.2,,,M,,NA,,0,0,10.09,11.28,10.35,9.22,150.19,154.84,141.15,128.46,143.10,129.46,19.55,15.59,9.63,8.56,10.46,9.93,9.74,5.32,2.28,2.35,3.56,2.65,5.73,3.14,4.01,2.18,0.09,1.23,0.93,0.02,0.23,1.16,0.90,0.06,0.35,2.26,0.91,0.04,0.13,1.33,1.12,0.07,1271.21,532.59,145.77,64.17,148724.23,,48.58,,,1.62,2.14,,2.33,,,29.91,24.14,,20.74,,,0.92,0.58,0.75,1,136.51,178.95,4.45,2.35,1.41,3.95,5.86,6.30,
638,2_I_22,548,548,548,502,44.6514115,-89.56484119,2,I,22,I,22,6,1,0,1,1,2,0,0,7/1/2012,2012,4,0.0,1.5,8.8,23.1,50.8,1.79,0.97,0.79,3.54,,,,,,,,,177.5,282.0,219.8,228.2,,M,M,,1,,0,3,11.01,11.28,12.91,12.60,155.72,147.55,150.68,139.53,180.85,158.78,14.92,15.14,10.34,7.47,9.36,7.98,8.99,4.16,3.29,2.05,3.25,1.71,5.42,2.53,3.57,1.63,0.16,1.90,1.20,0.04,0.14,0.98,0.87,0.05,0.43,2.10,0.68,0.04,0.10,0.95,0.61,0.05,838.66,1229.54,509.07,50.56,39999.69,,47.01,,,1.84,2.27,,2.29,,,27.32,22.20,,20.75,,,0.33,0.25,0.58,6,136.11,203.40,4.37,2.44,1.14,2.52,5.52,4.96,
1259,4_C_27,548,548,548,,44.6514115,-89.56484119,4,C,27,C,27,2,0,0,0,0,2,0,0,7/1/2012,2012,4,0.0,0.7,5.0,15.4,37.0,2.00,1.13,0.88,4.00,,,removed 1 sucker,,,,,,184.8,311.0,219.8,235.1,,,M,,NA,,0,0,10.38,9.58,12.11,10.54,148.84,116.21,137.16,132.90,148.91,150.55,10.22,15.52,11.07,9.42,9.68,7.30,8.35,8.68,2.73,1.24,1.98,1.52,5.42,4.91,2.93,3.77,0.33,1.71,0.62,0.06,0.12,0.64,0.44,0.03,0.27,1.44,0.24,0.02,0.11,0.85,0.51,0.05,1068.16,599.80,295.69,34.51,27805.74,,47.65,,,2.34,1.96,,2.02,,,21.86,25.33,,24.05,,,1.33,1.33,0.67,1,115.30,213.67,6.99,3.74,1.73,4.30,8.71,8.03,
861,3_C_21,550,550,550,,44.66068984,-89.56484119,3,C,21,C,21,3,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,1.3,6.5,17.0,35.9,1.57,0.96,0.75,3.28,,,,,,,,,230.7,356.2,258.0,272.5,,,,,NA,,0,0,14.71,14.88,13.61,14.08,125.03,126.91,129.90,122.56,162.86,130.41,18.63,8.67,11.04,15.86,12.24,12.17,8.00,9.13,3.78,4.53,2.64,3.65,4.73,5.61,3.27,3.52,0.09,1.72,1.95,0.03,0.18,1.90,2.39,0.06,0.34,1.95,0.32,0.02,0.21,1.69,1.61,0.14,538.02,1196.32,321.38,43.22,19381.09,,48.96,,,2.30,2.50,,2.02,,,22.25,19.64,,24.62,,,0.25,0.17,0.25,1,178.95,206.87,4.21,2.60,1.06,5.52,5.27,8.12,
1368,4_G_24,550,550,550,202,44.66068984,-89.56484119,4,G,24,G,24,5,1,0,1,1,2,0,0,7/1/2011,2011,5,0.0,2.0,8.3,22.0,52.6,1.44,0.97,0.87,3.28,,,,,,,,,230.7,350.0,253.3,273.4,,,,,1,,0,0,12.71,11.59,13.19,12.93,108.42,122.72,133.55,131.84,158.09,149.70,19.54,16.54,15.21,14.48,14.86,11.58,7.03,6.89,1.95,2.93,1.95,1.58,4.26,4.27,2.77,2.62,0.05,1.03,0.85,0.01,0.17,1.31,1.40,0.05,0.33,1.41,0.19,0.02,0.06,0.93,0.56,0.03,1239.63,1299.79,235.19,76.51,24576.20,,48.33,,,2.10,2.19,,1.96,,,24.50,22.70,,25.15,,,0.67,0.67,0.33,1,138.91,261.51,8.34,4.43,2.15,3.67,10.50,8.10,
1117,3_L_25,553,553,553,31,44.70006856,-89.56484119,3,L,25,L,25,3,1,0,1,1,2,0,0,7/1/2011,2011,5,0.0,1.6,8.9,23.8,60.2,1.69,0.98,0.93,3.60,,,,,,,,,162.7,246.0,187.9,218.1,,,M,,1,,0,0,9.29,10.07,10.60,11.10,127.50,129.92,134.02,127.60,150.81,141.29,16.03,18.99,15.2,12.45,11.41,9.72,12.26,5.39,3.36,2.39,6.21,3.52,7.27,3.69,4.99,1.70,0.11,2.00,1.23,0.02,0.16,1.41,0.98,0.04,0.40,4.60,1.18,0.03,0.19,2.05,1.22,0.06,1723.92,2432.28,774.67,37.14,107741.18,,47.33,,,1.99,2.16,,1.81,,,25.79,23.19,,26.86,,,1.17,0.67,0.92,0,121.08,269.76,4.72,3.39,1.04,4.83,5.76,8.22,
1480,4_K_24,553,553,553,,44.70006856,-89.56484119,4,K,24,K,24,4,0,0,0,0,2,0,0,7/1/2011,2011,5,0.3,12.5,40.3,80.3,142.7,1.17,0.69,0.58,2.43,,,,,,,,,151.0,240.1,187.9,196.9,,M,M,,NA,,0,1,11.67,10.00,11.31,11.49,130.81,133.99,137.97,133.28,159.60,156.67,15.10,18.96,18.42,12.75,9.14,11.62,7.71,4.09,2.34,1.19,4.85,2.51,4.37,2.87,3.34,1.22,0.06,1.46,0.80,0.02,0.09,0.71,0.41,0.02,0.35,3.70,0.78,0.02,0.12,1.47,0.88,0.04,2466.92,1687.99,274.41,61.26,102158.44,,47.58,,,2.10,2.07,,1.92,,,24.26,24.74,,25.12,,,0.50,0.92,0.67,16,121.05,196.71,1.89,3.55,1.44,2.60,3.34,6.15,
2003,1_EB_2,553,553,553,,44.70006856,-89.56484119,1,EB,2,EB,2,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,0.4,2.4,5.4,24.1,1.87,0.83,1.49,4.18,,,,"many stem galls, especially main stem; BL at 1.5 m",BL @ 1.3 m (old),,,x,238.3,293.4,187.9,204.7,,,M,,NA,,0,0,9.95,9.39,9.22,9.47,NA,119.06,161.83,117.28,129.75,122.23,NA,19.61,16.26,17.88,13.07,10.04,NA,9.19,4.77,5.36,8.82,5.32,NA,5.54,NA,3.65,0.12,2.49,2.14,0.03,0.31,2.50,2.56,0.08,0.34,6.03,2.41,0.04,0.18,2.74,2.32,0.08,2454.47,2188.09,301.59,53.35,214588.93,,49.79,,,NA,1.98,,1.83,,,NA,25.32,,27.23,,,NA,0.75,1.33,NA,113.14,164.96,2.87,1.63,1.07,3.54,3.94,5.17,
192,1_G_24,555,555,555,,44.70903376,-89.56484119,1,G,24,G,24,7,0,0,0,0,2,0,0,7/1/2011,2011,5,0.2,8.9,28.5,56.8,97.0,1.17,0.69,0.53,2.39,,,,grey fungus lower,,,,,234.9,382.1,309.3,317.2,,,,,NA,,0,0,12.01,12.57,10.06,9.88,124.63,164.05,144.74,146.22,171.91,169.36,21.02,19.31,18.83,12.64,12.22,8.97,10.80,4.53,4.71,5.84,3.53,3.24,6.29,2.92,4.51,1.61,0.07,2.27,2.34,0.04,0.23,2.56,2.93,0.12,0.26,2.48,0.76,0.03,0.11,1.45,1.61,0.07,597.98,1824.08,294.29,76.61,65620.47,,49.02,,,2.11,2.27,,2.25,,,24.02,21.96,,21.79,,,0.73,0.67,0.92,1,153.49,180.85,7.58,2.72,2.19,2.92,9.77,5.64,
727,2_L_27,555,555,555,,44.70903376,-89.56484119,2,L,27,L,27,3,0,0,0,0,2,0,0,7/1/2011,2011,5,0.1,4.8,17.2,41.9,51.9,1.27,0.89,0.21,2.38,,,,,,,,,244.1,382.1,309.3,305.2,,,,,NA,,0,0,13.19,9.46,12.44,11.62,131.48,146.28,154.17,142.89,162.93,155.02,19.65,17.40,9.81,9.92,13.71,6.10,10.19,6.58,6.56,5.66,3.42,2.37,5.76,4.17,4.43,2.41,0.12,3.31,3.07,0.06,0.22,2.37,2.95,0.12,0.40,2.20,0.79,0.03,0.12,1.33,0.87,0.05,492.16,908.46,179.26,39.52,68704.40,,48.29,,,2.29,2.57,,2.32,,,22.45,19.14,,20.96,,,0.50,1.00,0.58,1,114.62,174.65,6.87,1.38,1.50,0.96,8.37,2.34,
1035,3_I_27,555,555,555,,44.70903376,-89.56484119,3,I,27,I,27,6,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,1.9,10.8,27.8,52.7,1.72,0.94,0.64,3.30,,,,,,,,,238.3,368.2,309.3,317.2,,,,,NA,,0,0,11.91,10.35,9.31,10.53,123.82,145.56,146.20,140.93,185.94,172.57,20.10,17.73,11.02,10.68,10.46,9.59,12.05,6.33,5.31,5.83,3.39,1.80,7.22,3.90,4.83,2.43,0.09,2.59,2.60,0.04,0.27,2.49,2.95,0.12,0.36,2.30,0.70,0.03,0.08,0.98,0.69,0.05,768.50,2103.07,482.68,55.73,74047.89,,48.09,,,2.07,2.31,,2.06,,,24.83,21.58,,23.94,,,0.92,0.50,0.42,1,125.76,160.36,4.30,2.67,1.84,3.72,6.14,6.39,
1314,4_E_26,555,555,555,413,44.70903376,-89.56484119,4,E,26,E,26,3,1,0,1,1,2,0,0,7/1/2011,2011,5,0.0,0.3,3.3,11.0,25.4,2.32,1.20,0.84,4.36,,,,,,,,,221.5,NA,285.7,323.3,,,,,1,,0,0,8.74,9.48,9.68,11.45,116.77,131.60,142.70,134.36,147.26,144.83,23.25,22.30,15.63,12.61,15.30,7.65,13.09,6.67,6.72,2.87,2.85,4.30,7.96,4.27,5.13,2.40,0.36,4.01,2.24,0.10,0.19,1.33,1.27,0.08,0.27,1.99,0.57,0.02,0.15,2.18,1.89,0.08,1725.90,856.22,193.37,27.85,71774.07,,48.85,,,2.08,2.20,,2.13,,,24.84,23.16,,23.12,,,1.33,0.33,0.17,1,115.04,229.98,8.32,4.17,2.33,2.56,10.65,6.73,
169,1_G_1,557,557,557,,44.7093401,-89.56484119,1,G,1,G,1,1,0,0,0,0,2,1,0,7/1/2011,2011,5,0.0,0.0,NA,0.6,3.2,NA,NA,1.74,6.29,1,,,gall ridden,,,,,NA,412.2,264.7,278.4,,,,,NA,,0,0,NA,7.39,9.28,8.68,101.43,109.05,NA,108.93,127.88,111.38,24.88,15.73,NA,14.19,11.56,8.69,12.47,7.90,NA,5.22,8.67,5.58,7.16,5.35,5.31,2.55,NA,NA,NA,NA,0.40,2.52,2.14,0.17,0.49,5.87,2.24,0.07,0.40,2.94,2.08,0.16,914.51,852.67,98.90,68.46,50799.79,,47.58,,,1.98,2.23,,1.91,,,26.07,22.33,,24.89,,,0.44,0.17,0.08,1,89.81,174.21,7.13,3.16,2.21,1.90,9.35,5.06,
450,2_C_2,558,558,558,62,44.7093615,-89.56484119,2,C,2,C,2,3,1,0,1,1,2,0,0,7/1/2011,2011,5,0.0,3.1,12.0,27.6,53.5,1.36,0.83,0.66,2.86,,,,,,,x,,177.5,299.5,207.5,218.1,,,,,1,,0,0,12.40,12.83,14.58,14.21,129.52,139.38,126.94,117.45,170.73,149.76,10.18,6.67,6.92,6.14,5.72,5.99,14.95,13.03,14.85,6.93,9.55,6.60,7.34,7.14,7.61,5.89,0.20,7.25,7.21,0.19,0.38,2.88,3.46,0.21,0.50,5.98,2.99,0.07,0.27,3.24,2.91,0.18,957.27,780.60,194.89,45.21,74469.29,,46.91,,,2.15,2.45,,2.23,,,24.08,20.09,,21.59,,,0.00,0.17,0.00,4,155.92,257.58,9.91,4.93,1.82,2.43,11.73,7.37,
